2026-01-23 00:12:33 - Starting image fetch
2026-01-23 00:12:33 - Total sites to process: 5906
2026-01-23 00:13:48 - Progress: 100/5906 - OK:62 Skip:32
2026-01-23 00:13:48 - Progress: 100/5906 - OK:25 Skip:72
2026-01-23 00:13:59 - Progress: 100/5906 - OK:36 Skip:63
2026-01-23 00:18:18 - Progress: 200/5906 - OK:105 Skip:86
2026-01-23 00:18:20 - Progress: 200/5906 - OK:137 Skip:52
2026-01-23 00:18:27 - Progress: 200/5906 - OK:61 Skip:137
2026-01-23 00:22:14 - Progress: 300/5906 - OK:222 Skip:62
2026-01-23 00:22:14 - Progress: 300/5906 - OK:190 Skip:96
2026-01-23 00:22:18 - Progress: 300/5906 - OK:86 Skip:212
2026-01-23 00:26:23 - Progress: 400/5906 - OK:306 Skip:71
2026-01-23 00:26:23 - Progress: 400/5906 - OK:275 Skip:104
2026-01-23 00:26:25 - Progress: 400/5906 - OK:112 Skip:286
2026-01-23 00:31:08 - Progress: 500/5906 - OK:388 Skip:85
2026-01-23 00:31:08 - Progress: 500/5906 - OK:360 Skip:115
2026-01-23 00:31:16 - Progress: 500/5906 - OK:138 Skip:360
2026-01-23 00:35:02 - Progress: 600/5906 - OK:442 Skip:130
2026-01-23 00:35:02 - Progress: 600/5906 - OK:467 Skip:103
2026-01-23 00:35:05 - Progress: 600/5906 - OK:162 Skip:436
2026-01-23 00:38:57 - Progress: 700/5906 - OK:520 Skip:148
2026-01-23 00:38:57 - Progress: 700/5906 - OK:546 Skip:120
2026-01-23 00:39:02 - Progress: 700/5906 - OK:183 Skip:515
2026-01-23 00:42:43 - Progress: 800/5906 - OK:605 Skip:162
2026-01-23 00:42:43 - Progress: 800/5906 - OK:631 Skip:134
2026-01-23 00:42:43 - Progress: 800/5906 - OK:207 Skip:591
2026-01-23 00:46:02 - Progress: 900/5906 - OK:674 Skip:185
2026-01-23 00:46:02 - Progress: 900/5906 - OK:701 Skip:156
2026-01-23 00:46:03 - Progress: 900/5906 - OK:229 Skip:668
2026-01-23 00:49:39 - Progress: 1000/5906 - OK:753 Skip:202
2026-01-23 00:49:40 - Progress: 1000/5906 - OK:780 Skip:173
2026-01-23 00:49:47 - Progress: 1000/5906 - OK:250 Skip:747
2026-01-23 00:53:21 - Progress: 1100/5906 - OK:864 Skip:185
2026-01-23 00:53:21 - Progress: 1100/5906 - OK:837 Skip:214
2026-01-23 00:53:36 - Progress: 1100/5906 - OK:275 Skip:821
2026-01-23 00:57:04 - Progress: 1200/5906 - OK:914 Skip:228
2026-01-23 00:57:04 - Progress: 1200/5906 - OK:940 Skip:200
2026-01-23 00:57:08 - Progress: 1200/5906 - OK:299 Skip:895
2026-01-23 01:00:44 - Progress: 1300/5906 - OK:992 Skip:240
2026-01-23 01:00:44 - Progress: 1300/5906 - OK:1018 Skip:212
2026-01-23 01:00:46 - Progress: 1300/5906 - OK:322 Skip:970
2026-01-23 01:03:34 - Progress: 1400/5906 - OK:1050 Skip:278
2026-01-23 01:03:35 - Progress: 1400/5906 - OK:1076 Skip:250
2026-01-23 01:03:44 - Progress: 1400/5906 - OK:339 Skip:1051
2026-01-23 01:07:46 - Progress: 1500/5906 - OK:1124 Skip:300
2026-01-23 01:07:46 - Progress: 1500/5906 - OK:1149 Skip:273
2026-01-23 01:07:53 - Progress: 1500/5906 - OK:362 Skip:1127
2026-01-23 01:12:23 - Progress: 1600/5906 - OK:1200 Skip:322
2026-01-23 01:12:24 - Progress: 1600/5906 - OK:1226 Skip:294
2026-01-23 01:12:41 - Progress: 1600/5906 - OK:383 Skip:1206
2026-01-23 01:16:39 - Progress: 1700/5906 - OK:1306 Skip:312
2026-01-23 01:16:39 - Progress: 1700/5906 - OK:1280 Skip:340
2026-01-23 01:16:49 - Progress: 1700/5906 - OK:408 Skip:1281
2026-01-23 01:20:44 - Progress: 1800/5906 - OK:1386 Skip:328
2026-01-23 01:20:44 - Progress: 1800/5906 - OK:1360 Skip:356
2026-01-23 01:20:51 - Progress: 1800/5906 - OK:435 Skip:1354
2026-01-23 01:25:05 - Progress: 1900/5906 - OK:1467 Skip:343
2026-01-23 01:25:05 - Progress: 1900/5906 - OK:1439 Skip:373
2026-01-23 01:25:13 - Progress: 1900/5906 - OK:460 Skip:1429
2026-01-23 01:29:54 - Progress: 2000/5906 - OK:1555 Skip:353
2026-01-23 01:29:55 - Progress: 2000/5906 - OK:1529 Skip:381
2026-01-23 01:29:59 - Progress: 2000/5906 - OK:486 Skip:1503
2026-01-23 01:34:31 - Progress: 2100/5906 - OK:1639 Skip:363
2026-01-23 01:34:31 - Progress: 2100/5906 - OK:1614 Skip:390
2026-01-23 01:34:51 - Progress: 2100/5906 - OK:512 Skip:1577
2026-01-23 01:38:45 - Progress: 2200/5906 - OK:1715 Skip:378
2026-01-23 01:38:46 - Progress: 2200/5906 - OK:536 Skip:1651
2026-01-23 01:38:46 - Progress: 2200/5906 - OK:1691 Skip:404
2026-01-23 01:43:16 - Progress: 2300/5906 - OK:1782 Skip:410
2026-01-23 01:43:16 - Progress: 2300/5906 - OK:1807 Skip:383
2026-01-23 01:43:36 - Progress: 2300/5906 - OK:561 Skip:1726
2026-01-23 01:47:51 - Progress: 2400/5906 - OK:1871 Skip:413
2026-01-23 01:47:51 - Progress: 2400/5906 - OK:1896 Skip:386
2026-01-23 01:48:03 - Progress: 2400/5906 - OK:587 Skip:1799
2026-01-23 01:52:34 - Progress: 2500/5906 - OK:1975 Skip:401
2026-01-23 01:52:34 - Progress: 2500/5906 - OK:1952 Skip:426
2026-01-23 01:52:56 - Progress: 2500/5906 - OK:613 Skip:1872
2026-01-23 01:56:46 - Progress: 2600/5906 - OK:2035 Skip:440
2026-01-23 01:56:46 - Progress: 2600/5906 - OK:2057 Skip:416
2026-01-23 01:56:47 - Progress: 2600/5906 - OK:637 Skip:1948
2026-01-23 02:00:57 - Progress: 2700/5906 - OK:2142 Skip:427
2026-01-23 02:00:57 - Progress: 2700/5906 - OK:2119 Skip:452
2026-01-23 02:01:02 - Progress: 2700/5906 - OK:659 Skip:2026
2026-01-23 02:04:39 - Progress: 2800/5906 - OK:2216 Skip:450
2026-01-23 02:04:40 - Progress: 2800/5906 - OK:2191 Skip:477
2026-01-23 02:04:41 - Progress: 2800/5906 - OK:680 Skip:2105
2026-01-23 02:09:23 - Progress: 2900/5906 - OK:2260 Skip:504
2026-01-23 02:09:26 - Progress: 2900/5906 - OK:2291 Skip:471
2026-01-23 02:09:26 - Progress: 2900/5906 - OK:703 Skip:2181
2026-01-23 02:13:17 - Progress: 3000/5906 - OK:2335 Skip:523
2026-01-23 02:13:18 - Progress: 3000/5906 - OK:2365 Skip:491
2026-01-23 02:13:22 - Progress: 3000/5906 - OK:723 Skip:2261
2026-01-23 02:17:03 - Progress: 3100/5906 - OK:2444 Skip:509
2026-01-23 02:17:03 - Progress: 3100/5906 - OK:2414 Skip:541
2026-01-23 02:17:21 - Progress: 3100/5906 - OK:746 Skip:2338
2026-01-23 02:20:43 - Progress: 3200/5906 - OK:2518 Skip:530
2026-01-23 02:20:43 - Progress: 3200/5906 - OK:2487 Skip:563
2026-01-23 02:20:56 - Progress: 3200/5906 - OK:769 Skip:2415
2026-01-23 02:25:11 - Progress: 3300/5906 - OK:2571 Skip:577
2026-01-23 02:25:14 - Progress: 3300/5906 - OK:2602 Skip:544
2026-01-23 02:25:23 - Progress: 3300/5906 - OK:795 Skip:2488
2026-01-23 02:29:34 - Progress: 3400/5906 - OK:2694 Skip:547
2026-01-23 02:29:34 - Progress: 3400/5906 - OK:2664 Skip:579
2026-01-23 02:29:41 - Progress: 3400/5906 - OK:819 Skip:2564
2026-01-23 02:33:07 - Progress: 3500/5906 - OK:2776 Skip:564
2026-01-23 02:33:07 - Progress: 3500/5906 - OK:2746 Skip:596
2026-01-23 02:33:18 - Progress: 3500/5906 - OK:840 Skip:2643
2026-01-23 02:36:04 - Progress: 3600/5906 - OK:2835 Skip:604
2026-01-23 02:36:05 - Progress: 3600/5906 - OK:2805 Skip:636
2026-01-23 02:36:06 - Progress: 3600/5906 - OK:856 Skip:2727
2026-01-23 02:38:47 - Progress: 3700/5906 - OK:2896 Skip:642
2026-01-23 02:38:47 - Progress: 3700/5906 - OK:2866 Skip:674
2026-01-23 02:38:49 - Progress: 3700/5906 - OK:875 Skip:2808
2026-01-23 02:42:20 - Progress: 3800/5906 - OK:2971 Skip:663
2026-01-23 02:42:21 - Progress: 3800/5906 - OK:2941 Skip:695
2026-01-23 02:42:23 - Progress: 3800/5906 - OK:897 Skip:2886
2026-01-23 02:46:11 - Progress: 3900/5906 - OK:3048 Skip:685
2026-01-23 02:46:11 - Progress: 3900/5906 - OK:3021 Skip:714
2026-01-23 02:46:17 - Progress: 3900/5906 - OK:922 Skip:2961
2026-01-23 02:50:22 - Progress: 4000/5906 - OK:3129 Skip:700
